"标题","正文"
"8月2日山东省玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下：　　恒仁工贸玉米淀粉国产的出厂报价为2530元/吨，和1日的报价持平，含税价；8月1日无现货成交。                                            (责任编辑：DF318)"
"8月2日河北省玉米蛋白粉报价基本平稳","　　8月2日(周四)国内蛋白粉市场整体稳定，个别调涨。黄淮地区主流蛋白粉报价在66-72元/蛋白。吉林长春蛋白粉报价71元/蛋白，涨1元。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨。各地具体价格如下：　　辛集德瑞玉米蛋白粉国产的停报，8月1日无现货成交。                                            (责任编辑：DF318)"
"8月2日内蒙古玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下：　　巴山淀粉玉米淀粉国产的停报，可议价，王经理：18947890030；8月1日无现货成交。                                            (责任编辑：DF318)"
"8月2日河南省玉米蛋白粉报价基本平稳","　　8月2日(周四)国内蛋白粉市场整体稳定，个别调涨。黄淮地区主流蛋白粉报价在66-72元/蛋白。吉林长春蛋白粉报价71元/蛋白，涨1元。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨。各地具体价格如下：　　孟州金玉米玉米蛋白粉国产的出厂报价为67元/蛋白，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF120)"
"8月2日吉林省玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下：　　吉林黄龙(食品)玉米淀粉国产的出厂报价为2350元/吨，和1日的报价持平，为市场价；8月1日无现货成交。                                            (责任编辑：DF350)"
"8月2日陕西省普通玉米报价基本平稳","　　国维淀粉普通玉米国标二等的收购价格为1920元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日河南省普通玉米报价基本平稳","　　汝州巨龙普通玉米国标二等的收购价格为1880元/吨，和1日的报价持平，1880元/吨，付款周期25天。1850元/吨，现金付款结算。另拒收烘干玉米；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日山东省普通玉米报价基本平稳","　　邹平西王普通玉米国标二等的收购价格为1920元/吨，和1日的报价持平，东北烘干粮：0.94元/斤；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日湖南省普通玉米报价基本平稳","　　常德市普通玉米国标二等的到站价格为1850元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日四川省普通玉米报价基本平稳","　　成都市普通玉米国标二等的到站价格为2080元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日吉林省普通玉米报价基本平稳","　　8月2日，国内玉米现货市场整理。东北地区购销仍以稳定为主，华北地区粮价稍有变动。截至今晨8:00，不完全统计山东市场有福洋生物、邹城熙来2家企业下调6元/吨。山东市场连续下跌后，终于出现上涨。诸城兴贸涨10元至1870元/吨。港口和销区粮价维持稳定。各地具体情况如下： 　　(报价均为容重二等以上水分14%粮源主流成交价，但个别指标超标) 　　燃料乙醇普通玉米国标二等的收购价格为1570元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"DCE玉米小幅振荡 多单继续持有","　　国内盘面：周三DCE玉米C1901合约小幅振荡，终盘报1855元/吨，上涨6元/吨，涨幅0.32%，持仓量增加2622手至656344手。玉米淀粉CS1809合约则振荡偏弱，波动区间2266-2281元/吨，最终报收于2270元/吨，跌6元/吨，跌幅0.26%，持仓量136696手，减仓17114手。 　　外盘走势：芝加哥期货交易所(CBOT)美玉米期货主力12月合约增仓下跌，截至北京时间15:58，报385.0，跌幅0.36%。 　　消息面：1、受吉林省储备粮管理有限公司委托，吉林粮食批发交易中心有限责任公司定于2018年8月3日举办“吉林省2018年第七次省级储备粮轮换竞价销售交易会”，拟竞价销售省级储备玉米12946.991吨，稻谷47341.338吨，大豆6588.175吨。2、8月1日，国际粮船从美湾至中国口岸海运费为42美元/吨；巴西至中国口岸海运费为31美元/吨。 　　现货方面：锦州港地区新粮主流收购价水分15%以内1720元/吨，平舱价1763-1768元/吨，较昨日持平；吉林四平地区玉米淀粉出厂价格为2300元/吨，较昨日持平。 　　总结：近期临储玉米拍卖成交率保持稳定，主产区天气原因或影响新玉米产量，而未来深加工产能的释放使得对于玉米需求预期较好。技术上，玉米1901合约小幅振荡；淀粉1809合约振荡偏弱运行，而淀粉1901合约要强于淀粉1809合约。操作上建议，玉米1901合约多单继续持有，至于淀粉建议以操作1901合约为主，偏多交易。                                            (责任编辑：DF381)"
"8月1日美玉米到我国口岸完税价上涨","　　芝加哥期货交易所(CBOT)玉米期货周二升至一个半月高位，因天气预报显示美国中西部地区天气干旱，且受到大豆大幅走高的外溢效应。9月玉米期货合约收高5美分，报每蒲式耳3.72-1/4美元，为6月14日以来最高收盘价。 　　新作12月玉米合约收高5-1/4美分，报每蒲式耳3.86-1/2美元。 　　天气预报显示，进入8月天气将干旱，此时正是玉米颗粒生长发展阶段，干旱天气可能拖累产量下降。 　　大豆价格急升，因有煤体报道称美国和中国正试图重启停滞的贸易磋商，这也提振了玉米价格。 　　今日CBOT玉米期货成交量预计为415,952手。 　　9月交货的美国2号黄玉米FOB价格为167美元/吨，合人民币1140元/吨；到中国口岸完税后总成本约为2088元/吨，较上日涨22元/吨，比去年同期涨396元/吨。                                            (责任编辑：DF318)"
"1日广东港口玉米库存动态","　　据市场监测，截至8月1日广东港口内贸玉米库存共计58.4万吨，其中蛇口16.2万吨，南沙3.2万吨，新港16.7万吨，麻涌7万吨，新沙港6.3万吨，省粮码头5.5万吨；外贸玉米库存共计8.8万吨，其中蛇口0.5万吨，新港4万吨，麻涌1.8万吨，南沙2.5万吨。近两日广东港口内外贸玉米日均出货4.2万吨(内贸3.5万吨)，较周初日均出货增加0.3万吨。                                            (责任编辑：DF318)"
"8月1日湖南长沙玉米价格行情","　　湖南长沙地区玉米价格稳定，新粮散船码头报价1920-1960元/吨，与昨日持平。                                            (责任编辑：DF318)"
"8月1日内蒙古普通玉米报价基本平稳","　　具体报价如下：　　(报价均为容重二等以上水分14%粮源主流成交价，但个别指标超标)　　通辽市普通玉米国标二等的收购价格为1660元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF376)"
"8月1日黑龙江普通玉米报价基本平稳","　　具体报价如下：　　(报价均为容重二等以上水分14%粮源主流成交价，但个别指标超标)　　哈尔滨普通玉米国标二等的收购价格为1580元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF376)"
"8月1日内蒙古毛玉米油报价基本平稳","　　8月1日(周三)国内玉米油市场行情整体稳定，个别厂家有上调报价。华北毛油主流报价在5300-5500元/吨，一级油6200-6400元/吨。各地具体价格如下： 　　通辽玉王毛玉米油国产的出厂报价为5000元/吨，和30日的报价持平，7月31日无现货成交。                                            (责任编辑：DF120)"
"8月1日安徽省玉米油市场行情动态","　　8月1日(周三)国内玉米油市场行情整体稳定，个别厂家有上调报价。华北毛油主流报价在5300-5500元/吨，一级油6200-6400元/吨。各地具体价格如下： 　　阜阳植物油一级玉米油国产的停报，停产；7月31日无现货成交。                                            (责任编辑：DF120)"
"8月1日山东省一级玉米油报价基本平稳","　　8月1日(周三)国内玉米油市场行情整体稳定，个别厂家有上调报价。华北毛油主流报价在5300-5500元/吨，一级油6200-6400元/吨。各地具体价格如下： 　　邹平西王一级玉米油国产的出厂报价为6400元/吨，和31日的报价持平，限量成交。7月31日无现货成交。                                            (责任编辑：DF120)"
"8月1日河南省一级玉米油报价基本平稳","　　8月1日(周三)国内玉米油市场行情整体稳定，个别厂家有上调报价。华北毛油主流报价在5300-5500元/吨，一级油6200-6400元/吨。各地具体价格如下： 　　新乡惠民一级玉米油国产的出厂报价为6200元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF386)"
"8月1日江苏省玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下：  　　罗盖特玉米纤维国产的出厂报价为1020元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日辽宁省玉米胚芽报价基本平稳","　　8月1日(周三)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下： 　　地尔乐斯玉米胚芽国产的出厂报价为2750元/吨，和31日的报价持平，市场价；7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日辽宁省玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下：  　　地尔乐斯玉米纤维国产的出库报价为970元/吨，和31日的报价持平，喷浆；7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日吉林省玉米胚芽报价基本平稳","　　8月1日(周三)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下：　　长春大成玉米胚芽含油40%的出厂报价为2800元/吨，和31日的报价持平，市场价；7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日吉林省玉米胚芽粕报价基本平稳","　　8月1日(周三)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下：　　吉林黄龙(食品)玉米胚芽粕国产的出厂报价为1650元/吨，和31日的报价持平，25%蛋白(地区价格)；7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日吉林省玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下： 　　长春大成玉米纤维国产的出厂报价为930元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF386)"
"8月1日内蒙古玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下： 　　巴山淀粉玉米纤维国产的停报，停报；7月31日无现货成交。                                            (责任编辑：DF386)"
"8月1日安徽省玉米胚芽粕报价基本平稳","　　8月1日(周三)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下：　　阜阳植物油玉米胚芽粕国产的出厂报价为1550元/吨，和31日的报价持平，市场价；7月31日无现货成交。                                            (责任编辑：DF386)"
"8月1日河北省玉米胚芽报价基本平稳","　　8月1日(周三)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下：　　辛集旭鑫玉米胚芽国产的出厂报价为2750元/吨，和31日的报价持平，市场价；7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日陕西省玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下： 　　国维淀粉玉米纤维国产的出厂报价为950元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日河南省玉米胚芽报价基本平稳","　　8月1日(周三)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下：　　汝州巨龙玉米胚芽国产的出厂报价为2800元/吨，和31日的报价持平，39%，停机；7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日河南省玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下： 　　汝州巨龙玉米纤维国产的出厂报价为1300元/吨，和31日的报价持平，白皮，停机；7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日内蒙古玉米胚芽报价基本平稳","　　8月1日(周三)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下： 　　巴山淀粉玉米胚芽国产的出厂报价为2950元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日辽宁省玉米胚芽粕报价基本平稳","　　8月1日(周三)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　辽宁铁岭汇鑫玉米胚芽粕国产的出厂报价为1600元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日河北省玉米胚芽粕报价基本平稳","　　8月1日(周三)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　抚宁骊骅玉米胚芽粕国产的出厂报价为1700元/吨，和31日的报价持平，普通：17%蛋白(市场价)；7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日山东省玉米胚芽报价基本平稳","　　8月1日(周三)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下： 　　恒仁工贸玉米胚芽国产的出厂报价为2950元/吨，和31日的报价持平，含油38%，停机；7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日山东省玉米胚芽粕报价基本平稳","　　8月1日(周三)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　邹平三星玉米胚芽粕国产的出厂报价为1550元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日江苏省玉米胚芽报价基本平稳","　　8月1日(周三)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下：　　罗盖特玉米胚芽国产的出厂报价为2850元/吨，和31日的报价持平，含油45%；7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日陕西省玉米胚芽粕报价基本平稳","　　8月1日(周三)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　国维淀粉玉米胚芽粕国产的出厂报价为1450元/吨，和31日的报价持平，普通粕；7月31日无现货成交。                                            (责任编辑：DF381)"
"8月1日内蒙古玉米胚芽粕报价基本平稳","　　8月1日(周三)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下：　　内蒙兴源玉米胚芽粕国产的出厂报价为1450元/吨，和31日的报价持平，18%；7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日河北省玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下：  　　昌黎鹏远玉米纤维国产的出厂报价为1000元/吨，和31日的报价持平，18%蛋白，市场价；7月31日无现货成交。                                            (责任编辑：DF358)"
"8月1日山东省玉米纤维报价基本平稳","　　8月1日(周三)国内纤维市场稳定。东北喷浆玉米皮报价在1450元/吨，黄淮主流喷浆报价在880-1050元/吨，白皮在1050-1350元/吨。各地具体价格如下： 　　恒仁工贸玉米纤维国产的出厂报价为940元/吨，和31日的报价持平，东北玉米产出980元；7月31日无现货成交。                                            (责任编辑：DF386)"
"8月1日吉林省一级玉米油报价小幅上涨","　　8月1日(周三)国内玉米油市场行情整体稳定，个别厂家有上调报价。华北毛油主流报价在5300-5500元/吨，一级油6200-6400元/吨。各地具体价格如下： 　　佳乐宝食品一级玉米油国产的停报，7月31日无现货成交。                                            (责任编辑：DF120)"
"8月1日河北省玉米油市场行情动态","　　8月1日(周三)国内玉米油市场行情整体稳定，个别厂家有上调报价。华北毛油主流报价在5300-5500元/吨，一级油6200-6400元/吨。各地具体价格如下： 　　辛集三佳毛玉米油国产的出厂报价为5300元/吨，7月31日无现货成交。一级玉米油国产的出厂报价为6300元/吨，7月31日无现货成交。                                            (责任编辑：DF120)"
