"标题","正文"
"安徽省小麦受灾减产 亩产创五年来最低","　　记者从省物价局获悉，由于在小麦生长和收获的关键期接连遭受极端低温、连阴雨、强台风、暴雨等灾害性天气的影响，今年我省小麦赤霉病普遍多发，由此带动小麦受灾减产，全省小麦以亩均单产为338.17公斤创近5年来最低。 　　据省物价局价格成本调查监审局对全省15个小麦主产区126户农户的定点记账调查显示，今年全省小麦平均每亩单产为338.17公斤，较上年下降24.45%。小麦亩产量系近5年来最低。省物价局相关负责人介绍：“由于气候原因，我省部分麦区赤霉病增加，部分地方出现倒伏，小麦品质和千粒重下降明显，由此带动小麦亩产量下降，价格下跌，种植收益下滑。” 　　据悉，6月初我省启动小麦最低收购价格执行预案，最低收购价为每50公斤115元，较去年下调3元。整体看，调查户每50公斤小麦平均出售价格为101.95元，较上年下降9.17%，创近5年来新低。 　　省物价局相关负责人介绍，受单产下降、价格下跌的不利因素影响，今年我省农户小麦种植收益大幅下降，每亩小麦现金收益为228.52元，较上年下降339.30元，降幅59.75%；扣除人工成本和土地成本后的每亩净利润由盈转亏，为-163.55元，比上年减少328.66元。                                            (责任编辑：DF318)"
"美国农业部作物进展报告：春小麦优良率下降1个百分点","　　华盛顿7月31日消息：美国农业部发布的作物进展周度报告显示，截至周日，美国春小麦收获完成4%，去年同期8%，过去五年均值4%。 　　截至7月29日，美国春小麦评级优良的比例为78%，上周79%，去年同期31%。春小麦评级优的比例为14%，良64%，一般18%，差3%，劣1%。上周评级优的比例为14%，良65%，一般17%，差3%，劣1%。                                            (责任编辑：DF318)"
"2017/18年度乌克兰出口小麦1720万吨","　　基辅7月31日消息：据分析机构UkrAgroConsult称，2017/18年度(7月到次年6月)乌克兰小麦出口量达到1720万吨，亚洲国家是其主要的进口国。 　　2016/17年度乌克兰出口小麦1750万吨。 　　UkrAgroConsult称，2017/18年度乌克兰对印尼的小麦出口量达到229万吨，对埃及的小麦出口量达到196万吨，对孟加拉出口小麦156万吨。 　　乌克兰还向菲律宾、摩洛哥、韩国、西班牙和突尼斯出口大量小麦。 　　UkrAgroConsult称，乌克兰主要向欧盟、北非和中东地区出口小麦。                                            (责任编辑：DF318)"
"截至7月25日主产区小麦收购进度","　　截至7月25日，主产区小麦累计收购3396.9万吨，同比减少1841.3万吨，其中：河北收购297.4万吨，同比减少53.7万吨；江苏收购872.3万吨，同比减少259.4万吨；安徽收购368.3万吨，同比减少428.6万吨；山东收购579万吨，同比减少76.7万吨；河南收购713.3万吨，同比减少945.9万吨；湖北收购109.8万吨，同比减少91万吨。                                            (责任编辑：DF318)"
"8月1日美麦到我国口岸完税价上涨","　　芝加哥期货交易所(CBOT)小麦期货周二升至两个月高位，连续第二日收高，因担心全球主要小麦产区的产量受天气影响下降，导致全球供应紧张。9月软红冬麦合约收高7-1/4美分，报每蒲式耳5.53-3/4美元，为5月25日以来最高收盘价。 　　小麦价格得到提振，因预计包括黑海地区、欧盟、澳大利亚和加拿大在内的主要小麦出口地区产量下降。周二欧洲小麦期货触及三年高位。 　　堪萨斯城交易所(KCBT)9月硬红冬麦合约收高8-3/4美分，结算价报每蒲式耳5.56-1/2美元。 　　明尼阿波利斯谷物交易所(MGEX)9月硬红春麦合约上涨5-1/4美分，结算价报每蒲式耳6.6-1/4美元。 　　今日CBOT小麦期货预估成交量为179,233手。 　　9月交货的美国2号软红冬小麦FOB价格为225.5美元/吨，合人民币1540元/吨；到中国口岸完税后总成本约为2641元/吨，较上日涨29元/吨，比去年同期涨765元/吨。                                            (责任编辑：DF318)"
"8月1日河南省普通小麦报价暴涨","　　8月1日，新麦价格以稳为主，局部出现小幅上涨。主要是近期小麦上量不大，市场流传新小麦价格将在备货期大涨，使得市场看涨情绪高涨，制粉企业收购量不大，制约新小麦上行，新麦价格稳中略涨。今日报价如下：　　辛安面业普通小麦国标二等的收购价格为2460元/吨，和31日的报价持平普通小麦国标三等的停报普通小麦国标一等的收购价格为2620元/吨，和31日的报价持平普通小麦新麦的收购价格为2460元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF350)"
"8月1日江苏省普通小麦报价基本平稳","　　8月1日，新麦价格以稳为主，局部出现小幅上涨。主要是近期小麦上量不大，市场流传新小麦价格将在备货期大涨，使得市场看涨情绪高涨，制粉企业收购量不大，制约新小麦上行，新麦价格稳中略涨。今日报价如下： 　　淮安市普通小麦国标二等的收购价格为2340元/吨，和31日的报价持平普通小麦新麦的停报，7月31日无现货成交。                                            (责任编辑：DF358)"
"8月1日山西省普通小麦报价基本平稳","　　8月1日，新麦价格以稳为主，局部出现小幅上涨。主要是近期小麦上量不大，市场流传新小麦价格将在备货期大涨，使得市场看涨情绪高涨，制粉企业收购量不大，制约新小麦上行，新麦价格稳中略涨。今日报价如下： 　　晋城普通小麦国标二等的收购价格为2400元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF358)"
"8月1日湖北省普通小麦报价基本平稳","　　8月1日，新麦价格以稳为主，局部出现小幅上涨。主要是近期小麦上量不大，市场流传新小麦价格将在备货期大涨，使得市场看涨情绪高涨，制粉企业收购量不大，制约新小麦上行，新麦价格稳中略涨。今日报价如下：　　同益面粉普通小麦国标二等的收购价格为2360元/吨，和31日的报价持平普通小麦新麦的停报，7月31日无现货成交。                                            (责任编辑：DF386)"
"8月1日陕西省普通小麦报价基本平稳","　　8月1日，新麦价格以稳为主，局部出现小幅上涨。主要是近期小麦上量不大，市场流传新小麦价格将在备货期大涨，使得市场看涨情绪高涨，制粉企业收购量不大，制约新小麦上行，新麦价格稳中略涨。今日报价如下：　　宝鸡普通小麦国标二等的收购价格为2500元/吨，和31日的报价持平，容重770；普通小麦新麦的收购价格为2480元/吨，和31日的报价持平，容重790；7月31日无现货成交。                                            (责任编辑：DF386)"
"热浪席卷全球 高温“催热”海外农产品期价","摘要            一股热浪正席卷着全球主要的农作物产区。从欧洲到北美，小麦产量低于平均水平，再加上一些地区的干旱加剧，美国等主要市场的农产品期货价格近期一路上扬。接受上证报采访的业内人士认为，对于中国市场而言，这股热浪会为农机、空调等产品的出口带来机遇。                             　　一股热浪正席卷着全球主要的农作物产区。从欧洲到北美，小麦产量低于平均水平，再加上一些地区的干旱加剧，美国等主要市场的农产品期货价格近期一路上扬。接受上证报采访的业内人士认为，对于中国市场而言，这股热浪会为农机、空调等产品的出口带来机遇。 　　世界气象组织近日表示，整个7月，北半球依旧处于极端炎热、干旱和灾难性降雨等具有高度影响天气的控制下。刚刚过去的6月是全球有记录以来气温第二高的6月。 　　热浪来袭，最先感知到的是农产品生产者，不少机构相应地改变了预期。国际谷物理事会上周发布报告称，由于关键种植区的作物正面临不利气候因素，预计2018年至2019年的全球粮食(小麦和粗粮)总产量将同比下跌2%至20.59亿吨的3年最低位。 　　农业咨询机构Strategie Grains也在近日宣布下调今年欧盟软麦产量预估，从7月的初步预估值1.324亿吨下调至低于1.30亿吨，这将是2012年来欧盟软麦的最低产量。另一家农业咨询机构SovEcon于7月初表示，由于天气干燥，已将今年俄罗斯粮食作物的产量预测从此前的1.186亿吨下调至1.139亿吨。 　　在美国，最大春小麦产区北达科他州年度作物巡检发现，因炎热天气可能影响产量，今年作物收成前景远低于美国农业部的预估。 　　在此背景下，农产品期货的价格近期出现明显涨势。上周，芝加哥期货交易所(CBOT)交易最活跃的小麦、大豆及玉米期货的累计涨幅在1.7%至4.6%不等。而洲际交易所的期棉价格上周累计涨幅超过1%，并在本周一触及6周以来高位。 　　业内人士认为，国内农产品期货因为高温天气受到的影响或有限。相较而言，专家认为，我国出口或因此迎来结构性机遇。 　　上海社科院研究员徐明祺表示，极端高温天气会提升空调的需求量，中国是这方面的生产大国，可能会看到出口增加。此外，这种天气下，部分干旱地区可能需要一些农机产品，中国这方面的产品也较有竞争力。                                    (原标题：高温“催热”海外农产品期价)                                                (责任编辑：DF380)"
"2018年7月31日山东省小麦价格行情","　　亨源面粉普通小麦国标二等的收购价格为2480元/吨，和昨日的报价持平，昨日无现货成交。 　　金麦子普通小麦国标二等的收购价格为2460元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　国祥粉业普通小麦国标一等的收购价格为2500元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　半球面粉普通小麦国标一等的收购价格为2490元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　中兴面粉普通小麦国标二等的收购价格为2500元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　丰晨制粉普通小麦国标二等的收购价格为2460元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。                                            (责任编辑：DF392)"
"2018年7月31日河北省小麦价格行情","　　四季雪普通小麦国标一等的收购价格为2480元/吨，和昨日的报价持平，昨日无现货成交。 　　双福面粉普通小麦国标二等的收购价格为2440元/吨，和昨日的报价持平，昨日无现货成交。 　　飞鹰面粉普通小麦国标二等的收购价格为2460元/吨，和昨日的报价持平，昨日无现货成交。 　　光牌面业普通小麦国标一等的收购价格为2500元/吨，和昨日的报价持平，昨日无现货成交。 　　白龙面粉普通小麦国标一等的收购价格为2400元/吨，和昨日的报价持平，昨日无现货成交。 　　玉泉面粉普通小麦国标一等的出厂报价为2500元/吨，和昨日的报价持平，昨日无现货成交。 　　三伟面粉普通小麦国标一等的收购价格为2460元/吨，和昨日的报价持平，昨日无现货成交。                                            (责任编辑：DF392)"
"2018年7月31日河南省小麦价格行情","　　众天面业普通小麦国标二等的收购价格为2460元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　凯威面粉普通小麦国标二等的收购价格为2360元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　雪丰面粉普通小麦国标三等的收购价格为2440元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　望嵩面粉普通小麦国标一等的收购价格为2460元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　冠裕粉业普通小麦国标二等的收购价格为2380元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　新乡新良普通小麦国标一等的收购价格为2480元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　河南信阳普通小麦国标二等的收购价格为2380元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。                                            (责任编辑：DF392)"
"2018年7月31日江苏省小麦价格行情","　　淮安市普通小麦国标二等的收购价格为2340元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　白龙马普通小麦国标二等的收购价格为2380元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　江苏徐州普通小麦国标二等的收购价格为2400元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　宇宸面粉普通小麦国标一等的停报普通小麦新麦的收购价格为2280元/吨，和昨日的报价持平，昨日无现货成交。 　　新阳春普通小麦国标一等的收购价格为2360元/吨，和昨日的报价持平普通小麦新麦的收购价格为2360元/吨，和昨日的报价持平，昨日无现货成交。                                            (责任编辑：DF392)"
"2018年7月31日山西省小麦价格行情","　　晋城普通小麦国标二等的收购价格为2400元/吨，和昨日的报价持平，昨日无现货成交。                                            (责任编辑：DF392)"
"2018年7月31日陕西省小麦价格行情","　　后稷面粉普通小麦国标二等的收购价格为2460元/吨，和昨日的报价持平，容重750；昨日无现货成交。 　　宝鸡普通小麦国标二等的收购价格为2500元/吨，和昨日的报价持平，容重770；普通小麦新麦的收购价格为2480元/吨，和昨日的报价持平，容重790；昨日无现货成交。                                            (责任编辑：DF392)"
"2018年7月31日湖北省小麦价格行情","　　同益面粉普通小麦国标二等的收购价格为2400元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。                                            (责任编辑：DF392)"
"2018年7月31日安徽省小麦价格行情","　　占元面粉普通小麦新麦的收购价格为2350元/吨，和昨日的报价持平，昨日无现货成交。 　　雁湖面粉普通小麦国标二等的收购价格为2340元/吨，和昨日的报价持平，昨日无现货成交。 　　鑫丰园普通小麦国标三等的收购价格为2340元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　淮北市普通小麦国标二等的收购价格为2340元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　淮南市普通小麦国标二等的收购价格为2420元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　皖王面粉普通小麦国标二等的收购价格为2360元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。 　　                                            (责任编辑：DF392)"
"2018年7月31日山东省小麦价格行情走势","　　金麦子普通小麦国标二等的收购价格为2460元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。　　国祥粉业普通小麦国标一等的收购价格为2500元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。　　半球面粉普通小麦国标一等的收购价格为2490元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。　　中兴面粉普通小麦国标二等的收购价格为2520元/吨，和昨日的报价持平普通小麦新麦的停报，昨日无现货成交。                                            (责任编辑：DF392)"
"麦迪森控股(08057)因收购事项 溢价约9.52%发行2.13亿股新股份","　　麦迪森控股(08057)公告，根据日期为2018年4月12日的收购协议发行公司股本中每股面值0.001港元的2.13亿股新股份，占已发行股份5.24%，每股发行价1.84港元，与7月30日收市价相比溢价约9.52%。 　　此前公告，公司拟发行代价股份收购Diginex High Performance Computing Limited 51%股权。                                            (责任编辑：DF372)"
"7月31日CBOT燕麦电子盘收盘报价","合约名称开盘价最高价最低价收盘价涨跌成交量持仓量昨日结算ZO1809232.25234.5232.252330.2581620232.75ZO1812242.52442422420.75663378242.75                                            (责任编辑：DF353)"
"7月31日CBOT小型小麦电子盘收盘报价","合约名称开盘价最高价最低价收盘价涨跌成交量持仓量昨日结算XW1809546555540.25554.257.751371725546.5XW1812564.25572.5560.5572.255.523277566.5XW1907585593583.755935.511801587.5                                            (责任编辑：DF353)"
"7月31日CBOT小麦电子盘收盘报价","合约名称开盘价最高价最低价收盘价涨跌成交量持仓量昨日结算ZW1809545.5555.5540.5554.5813862181864546.5ZW1812565574.75560.755747.57257171218566.5ZW1903580.5589576588.256.5254362189581.75ZW1905585593.75581.5593.255.7552315479587.5ZW1907585.5593.25581.25592.254.7564837746587.5ZW1909590599.25589.25599.255.51015484593.75ZW1912603610598.75608.754.253058500604.5ZW2003606.25613.75606.25613.754571928609.75ZW2007607.5613.75604.75613.75448974609.75ZW2012613613606606-161610622ZW2103610610610610-1361623                                            (责任编辑：DF353)"
"7月31日MGEX硬春小麦电子盘收盘报价","合约名称开盘价最高价最低价收盘价涨跌成交量持仓量昨日结算MW1809599.5608598607.756.75454026904601MW1812612.5622.75612.5622.757.25230921477615.5MW1903628.563562763567707478629MW19056426426426426.51262984635.5MW1907645647.25645647.255.252281411642MW1909639.2564063864022561054638MW19126456456456451.759555643.25                                            (责任编辑：DF353)"
"7月31日湖北省普通小麦报价基本平稳","　　今日报价如下：　　同益面粉普通小麦国标二等的收购价格为2400元/吨，和30日的报价持平普通小麦新麦的停报，7月30日无现货成交。                                            (责任编辑：DF376)"
"7月31日陕西省普通小麦报价基本平稳","　　今日报价如下：　　宝鸡普通小麦国标二等的收购价格为2500元/吨，和30日的报价持平，容重770；普通小麦新麦的收购价格为2480元/吨，和30日的报价持平，容重790；7月30日无现货成交。                                            (责任编辑：DF376)"
